2026-08-05 17:01:43 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN102464768A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:43 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:43 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:43 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:51 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103254359A/en...
2026-08-05 17:01:52 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103254359A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:52 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:52 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:52 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:00 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN1865306A/en...
2026-08-05 17:02:01 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN1865306A/en "HTTP/1.1 200 OK"
2026-08-05 17:02:01 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:02:01 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:02:01 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:06 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US5770660A/zh...
2026-08-05 17:02:07 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US5770660A/zh "HTTP/1.1 200 OK"
2026-08-05 17:02:07 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:02:07 | WARNING  | app.services.pipeline.fetcher_service:88 | Could not find specific patent sections. Dumping entire body text.
2026-08-05 17:02:07 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:02:07 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:14 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US20160002447A1/en...
2026-08-05 17:02:15 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US20160002447A1/en "HTTP/1.1 200 OK"
2026-08-05 17:02:15 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:02:15 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:02:15 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:23 | INFO     | app.services.pipeline.orchestrator:47 | Run 347ff2d6-01cf-4a3c-946a-5685c861bd8d transitioned to EXTRACTING
2026-08-05 17:02:23 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:23 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:24 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:24 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:24 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:24 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:24 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:24 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:25 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:25 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:25 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:25 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:25 | INFO     | app.services.pipeline.extractor_service:74 | Extracting structured polymerization data...
2026-08-05 17:02:25 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:02:26 | ERROR    | app.services.pipeline.extractor_service:98 | LLM Extraction failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': '* GenerateContentRequest.generation_config.response_schema.required[1]: property is not defined\n', 'status': 'INVALID_ARGUMENT'}}
2026-08-05 17:02:26 | ERROR    | app.services.pipeline.orchestrator:50 | Run 347ff2d6-01cf-4a3c-946a-5685c861bd8d FAILED: Failed to extract structured data from the relevant patents.
